Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,rbf,-,98.5294117647,4.71698113208,0.5743801652892562
transfer_1,linear,-,76.4705882353,30.1886792453,0.5619834710743802
transfer_1,poly,2,100.0,0.0,0.5619834710743802
transfer_1,poly,3,100.0,0.0,0.5619834710743802
transfer_1,poly,4,100.0,0.0,0.5619834710743802
transfer_1,poly,5,100.0,0.0,0.5619834710743802
transfer_1,poly,6,100.0,0.0,0.5619834710743802
transfer_2,rbf,-,76.0,56.25,0.7121212121212122
transfer_2,linear,-,62.0,40.625,0.5681818181818182
transfer_2,poly,2,100.0,0.0,0.7575757575757576
transfer_2,poly,3,100.0,0.0,0.7575757575757576
transfer_2,poly,4,100.0,0.0,0.7575757575757576
transfer_2,poly,5,100.0,0.0,0.7575757575757576
transfer_2,poly,6,100.0,0.0,0.7575757575757576
transfer_3,rbf,-,100.0,33.3333333333,0.8181818181818182
transfer_3,linear,-,75.0,66.6666666667,0.7272727272727273
transfer_3,poly,2,100.0,0.0,0.7272727272727273
transfer_3,poly,3,100.0,0.0,0.7272727272727273
transfer_3,poly,4,100.0,0.0,0.7272727272727273
transfer_3,poly,5,100.0,0.0,0.7272727272727273
transfer_3,poly,6,100.0,0.0,0.7272727272727273
transfer_4,rbf,-,100.0,25.0,0.7272727272727273
transfer_4,linear,-,64.2857142857,75.0,0.6818181818181818
transfer_4,poly,2,100.0,0.0,0.6363636363636364
transfer_4,poly,3,100.0,0.0,0.6363636363636364
transfer_4,poly,4,100.0,0.0,0.6363636363636364
transfer_4,poly,5,100.0,0.0,0.6363636363636364
transfer_4,poly,6,100.0,0.0,0.6363636363636364
transfer_5,rbf,-,100.0,33.3333333333,0.8181818181818182
transfer_5,linear,-,81.25,50.0,0.7272727272727273
transfer_5,poly,2,100.0,0.0,0.7272727272727273
transfer_5,poly,3,100.0,0.0,0.7272727272727273
transfer_5,poly,4,100.0,0.0,0.7272727272727273
transfer_5,poly,5,100.0,0.0,0.7272727272727273
transfer_5,poly,6,100.0,0.0,0.7272727272727273
transfer_6,rbf,-,100.0,25.0,0.7272727272727273
transfer_6,linear,-,92.8571428571,37.5,0.7272727272727273
transfer_6,poly,2,100.0,0.0,0.6363636363636364
transfer_6,poly,3,100.0,0.0,0.6363636363636364
transfer_6,poly,4,100.0,0.0,0.6363636363636364
transfer_6,poly,5,100.0,0.0,0.6363636363636364
transfer_6,poly,6,100.0,0.0,0.6363636363636364
transfer_7,rbf,-,100.0,50.0,0.8181818181818182
transfer_7,linear,-,71.4285714286,50.0,0.6363636363636364
transfer_7,poly,2,100.0,0.0,0.6363636363636364
transfer_7,poly,3,100.0,0.0,0.6363636363636364
transfer_7,poly,4,100.0,0.0,0.6363636363636364
transfer_7,poly,5,100.0,0.0,0.6363636363636364
transfer_7,poly,6,100.0,0.0,0.6363636363636364
transfer_8,rbf,-,100.0,25.0,0.7272727272727273
transfer_8,linear,-,78.5714285714,87.5,0.8181818181818182
transfer_8,poly,2,100.0,0.0,0.6363636363636364
transfer_8,poly,3,100.0,0.0,0.6363636363636364
transfer_8,poly,4,100.0,0.0,0.6363636363636364
transfer_8,poly,5,100.0,0.0,0.6363636363636364
transfer_8,poly,6,100.0,0.0,0.6363636363636364
transfer_9,rbf,-,100.0,12.5,0.36363636363636365
transfer_9,linear,-,83.3333333333,31.25,0.45454545454545453
transfer_9,poly,2,100.0,0.0,0.2727272727272727
transfer_9,poly,3,100.0,0.0,0.2727272727272727
transfer_9,poly,4,100.0,0.0,0.2727272727272727
transfer_9,poly,5,100.0,0.0,0.2727272727272727
transfer_9,poly,6,100.0,0.0,0.2727272727272727
transfer_10,rbf,-,78.5714285714,37.5,0.6363636363636364
transfer_10,linear,-,57.1428571429,50.0,0.5454545454545454
transfer_10,poly,2,100.0,0.0,0.6363636363636364
transfer_10,poly,3,100.0,0.0,0.6363636363636364
transfer_10,poly,4,100.0,0.0,0.6363636363636364
transfer_10,poly,5,100.0,0.0,0.6363636363636364
transfer_10,poly,6,100.0,0.0,0.6363636363636364
transfer_11,rbf,-,100.0,14.2857142857,0.45454545454545453
transfer_11,linear,-,87.5,64.2857142857,0.7272727272727273
transfer_11,poly,2,100.0,0.0,0.36363636363636365
transfer_11,poly,3,100.0,0.0,0.36363636363636365
transfer_11,poly,4,100.0,0.0,0.36363636363636365
transfer_11,poly,5,100.0,0.0,0.36363636363636365
