Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,rbf,-,33.7301587302,77.0833333333,0.494949494949495
transfer_1,linear,-,34.9206349206,79.1666666667,0.51010101010101
transfer_1,poly,2,100.0,0.0,0.6363636363636364
transfer_1,poly,3,100.0,0.0,0.6363636363636364
transfer_1,poly,4,100.0,0.0,0.6363636363636364
transfer_1,poly,5,100.0,0.0,0.6363636363636364
transfer_1,poly,6,100.0,0.0,0.6363636363636364
transfer_2,rbf,-,84.6153846154,43.4782608696,0.7386363636363636
transfer_2,linear,-,63.0769230769,52.1739130435,0.6022727272727273
transfer_2,poly,2,100.0,0.0,0.7386363636363636
transfer_2,poly,3,100.0,0.0,0.7386363636363636
transfer_2,poly,4,100.0,0.0,0.7386363636363636
transfer_2,poly,5,100.0,0.0,0.7386363636363636
transfer_2,poly,6,100.0,0.0,0.7386363636363636
transfer_3,rbf,-,100.0,30.0,0.7878787878787878
transfer_3,linear,-,78.2608695652,70.0,0.7575757575757576
transfer_3,poly,2,100.0,0.0,0.696969696969697
transfer_3,poly,3,100.0,0.0,0.696969696969697
transfer_3,poly,4,100.0,0.0,0.696969696969697
transfer_3,poly,5,100.0,0.0,0.696969696969697
transfer_3,poly,6,100.0,0.0,0.696969696969697
transfer_4,rbf,-,100.0,27.2727272727,0.7575757575757576
transfer_4,linear,-,84.0909090909,36.3636363636,0.6818181818181818
transfer_4,poly,2,100.0,0.0,0.6666666666666666
transfer_4,poly,3,100.0,0.0,0.6666666666666666
transfer_4,poly,4,100.0,0.0,0.6666666666666666
transfer_4,poly,5,100.0,0.0,0.6666666666666666
transfer_4,poly,6,100.0,0.0,0.6666666666666666
transfer_5,rbf,-,100.0,27.2727272727,0.7575757575757576
transfer_5,linear,-,77.2727272727,54.5454545455,0.696969696969697
transfer_5,poly,2,100.0,0.0,0.6666666666666666
transfer_5,poly,3,100.0,0.0,0.6666666666666666
transfer_5,poly,4,100.0,0.0,0.6666666666666666
transfer_5,poly,5,100.0,0.0,0.6666666666666666
transfer_5,poly,6,100.0,0.0,0.6666666666666666
transfer_6,rbf,-,100.0,25.0,0.7272727272727273
transfer_6,linear,-,76.1904761905,45.8333333333,0.6515151515151515
transfer_6,poly,2,100.0,0.0,0.6363636363636364
transfer_6,poly,3,100.0,0.0,0.6363636363636364
