Image Section,Label
winonapics/1A.tiff_0/4.png,negative
winonapics/1A.tiff_1/4.png,negative
winonapics/1A.tiff_2/4.png,negative
winonapics/1A.tiff_3/4.png,positive
winonapics/1A.tiff_0/6.png,negative
winonapics/1A.tiff_1/6.png,negative
winonapics/1A.tiff_2/6.png,negative
winonapics/1A.tiff_3/6.png,negative
winonapics/1A.tiff_4/6.png,positive
winonapics/1A.tiff_5/6.png,negative
winonapics/2A.tiff_0/4.png,negative
winonapics/2A.tiff_1/4.png,negative
winonapics/2A.tiff_2/4.png,negative
winonapics/2A.tiff_3/4.png,positive
winonapics/2A.tiff_0/6.png,negative
winonapics/2A.tiff_1/6.png,negative
winonapics/2A.tiff_2/6.png,negative
winonapics/2A.tiff_3/6.png,negative
winonapics/2A.tiff_4/6.png,positive
winonapics/2A.tiff_5/6.png,positive
winonapics/3A.tiff_0/4.png,negative
winonapics/3A.tiff_1/4.png,negative
winonapics/3A.tiff_2/4.png,negative
winonapics/3A.tiff_3/4.png,positive
winonapics/3A.tiff_0/6.png,negative
winonapics/3A.tiff_1/6.png,negative
winonapics/3A.tiff_2/6.png,negative
winonapics/3A.tiff_3/6.png,negative
winonapics/3A.tiff_4/6.png,positive
winonapics/3A.tiff_5/6.png,negative
winonapics/4A.tiff_0/4.png,negative
winonapics/4A.tiff_1/4.png,negative
winonapics/4A.tiff_2/4.png,positive
winonapics/4A.tiff_3/4.png,positive
winonapics/4A.tiff_0/6.png,negative
winonapics/4A.tiff_1/6.png,negative
winonapics/4A.tiff_2/6.png,negative
winonapics/4A.tiff_3/6.png,negative
winonapics/4A.tiff_4/6.png,positive
winonapics/4A.tiff_5/6.png,negative
winonapics/5A.tiff_0/4.png,negative
winonapics/5A.tiff_1/4.png,negative
winonapics/5A.tiff_2/4.png,negative
winonapics/5A.tiff_3/4.png,positive
winonapics/5A.tiff_0/6.png,negative
winonapics/5A.tiff_1/6.png,negative
winonapics/5A.tiff_2/6.png,negative
winonapics/5A.tiff_3/6.png,negative
winonapics/5A.tiff_4/6.png,positive
winonapics/5A.tiff_5/6.png,negative
winonapics/6A.tiff_0/4.png,negative
winonapics/6A.tiff_1/4.png,negative
winonapics/6A.tiff_2/4.png,positive
winonapics/6A.tiff_3/4.png,positive
winonapics/6A.tiff_0/6.png,negative
winonapics/6A.tiff_1/6.png,negative
winonapics/6A.tiff_2/6.png,negative
winonapics/6A.tiff_3/6.png,negative
winonapics/6A.tiff_4/6.png,positive
winonapics/6A.tiff_5/6.png,negative
winonapics/7A.tiff_0/4.png,negative
winonapics/7A.tiff_1/4.png,negative
winonapics/7A.tiff_2/4.png,positive
winonapics/7A.tiff_3/4.png,positive
winonapics/7A.tiff_0/6.png,negative
winonapics/7A.tiff_1/6.png,negative
winonapics/7A.tiff_2/6.png,negative
winonapics/7A.tiff_3/6.png,negative
winonapics/7A.tiff_4/6.png,positive
winonapics/7A.tiff_5/6.png,negative
winonapics/8A.tiff_0/4.png,negative
winonapics/8A.tiff_1/4.png,negative
winonapics/8A.tiff_2/4.png,positive
winonapics/8A.tiff_3/4.png,positive
winonapics/8A.tiff_0/6.png,negative
winonapics/8A.tiff_1/6.png,negative
winonapics/8A.tiff_2/6.png,negative
winonapics/8A.tiff_3/6.png,negative
winonapics/8A.tiff_4/6.png,positive
winonapics/8A.tiff_5/6.png,negative
