leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,100,100,100,100,20.83333333
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,238,96,40,66,0.782894737,0.705882353,0.759090909
transfer 2,262,80,64,34,0.885135135,0.555555556,0.777272727
transfer 3,238,86,58,58,0.804054054,0.597222222,0.736363636
transfer 4,234,88,64,54,0.8125,0.578947368,0.731818182
transfer 5,204,108,75,52,0.796875,0.590163934,0.71070615
transfer 6,170,63,96,22,0.885416667,0.396226415,0.663817664
transfer 7,108,55,72,28,0.794117647,0.433070866,0.619771863
transfer 8,68,44,51,12,0.85,0.463157895,0.64
transfer 9,22,16,47,2,0.916666667,0.253968254,0.436781609
transfer 10,136,110,114,80,0.62962963,0.491071429,0.559090909
transfer 11,138,98,126,78,0.638888889,0.4375,0.536363636
transfer 12,178,88,104,70,0.717741935,0.458333333,0.604545455
transfer 13,174,76,100,90,0.659090909,0.431818182,0.568181818
transfer 14,130,86,90,134,0.492424242,0.488636364,0.490909091
transfer 15,146,86,90,118,0.553030303,0.488636364,0.527272727
transfer 16,148,72,136,84,0.637931034,0.346153846,0.5
transfer 17,180,78,114,68,0.725806452,0.40625,0.586363636
transfer 18,224,72,88,56,0.8,0.45,0.672727273
transfer 19,190,74,54,122,0.608974359,0.578125,0.6
transfer 20,134,72,24,210,0.389534884,0.75,0.468181818
transfer 21,110,32,0,210,0.34375,1,0.403409091
transfer 22,138,24,0,102,0.575,1,0.613636364
transfer 23,98,16,0,62,0.6125,1,0.647727273
transfer 24,38,8,0,42,0.475,1,0.522727273
,,,,,,,
,,,,,0.682790106,0.579196641,0.599031629
