leaning rate,max training epochs,batch_size,h1,h2,h3,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,20.83333333
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,224,96,40,80,0.736842105,0.705882353,0.727272727
transfer 2,260,76,68,36,0.878378378,0.527777778,0.763636364
transfer 3,238,86,58,58,0.804054054,0.597222222,0.736363636
transfer 4,230,84,68,58,0.798611111,0.552631579,0.713636364
transfer 5,198,105,78,58,0.7734375,0.573770492,0.690205011
transfer 6,146,89,70,46,0.760416667,0.559748428,0.66951567
transfer 7,110,61,66,26,0.808823529,0.480314961,0.650190114
transfer 8,66,46,49,14,0.825,0.484210526,0.64
transfer 9,22,17,46,2,0.916666667,0.26984127,0.448275862
transfer 10,132,112,112,84,0.611111111,0.5,0.554545455
transfer 11,154,96,128,62,0.712962963,0.428571429,0.568181818
transfer 12,170,100,92,78,0.685483871,0.520833333,0.613636364
transfer 13,156,84,92,108,0.590909091,0.477272727,0.545454545
transfer 14,140,76,100,124,0.53030303,0.431818182,0.490909091
transfer 15,140,90,86,124,0.53030303,0.511363636,0.522727273
transfer 16,154,70,138,78,0.663793103,0.336538462,0.509090909
transfer 17,168,98,94,80,0.677419355,0.510416667,0.604545455
transfer 18,212,82,78,68,0.757142857,0.5125,0.668181818
transfer 19,176,74,54,136,0.564102564,0.578125,0.568181818
transfer 20,152,68,28,192,0.441860465,0.708333333,0.5
transfer 21,114,32,0,206,0.35625,1,0.414772727
transfer 22,126,24,0,114,0.525,1,0.568181818
transfer 23,92,16,0,68,0.575,1,0.613636364
transfer 24,42,8,0,38,0.525,1,0.568181818
,,,,,0.668702977,0.594465516,0.597888459
