Percentage held for testing: ,20.83333333,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,88,250,54,48,64.70588235,82.23684211,0.768181818
transfer_2,linear,n/a,78,270,26,66,54.16666667,91.21621622,0.790909091
transfer_3,linear,n/a,90,234,62,54,62.5,79.05405405,0.736363636
transfer_4,linear,n/a,98,196,92,54,64.47368421,68.05555556,0.668181818
transfer_5,linear,n/a,105,184,72,78,57.37704918,71.875,0.658314351
transfer_6,linear,n/a,89,142,50,70,55.97484277,73.95833333,0.658119658
transfer_7,linear,n/a,65,102,34,62,51.18110236,75,0.634980989
transfer_8,linear,n/a,57,70,10,38,60,87.5,0.725714286
transfer_9,linear,n/a,23,22,2,40,36.50793651,91.66666667,0.517241379
transfer_10,linear,n/a,118,122,94,106,52.67857143,56.48148148,0.545454545
transfer_11,linear,n/a,98,150,66,126,43.75,69.44444444,0.563636364
transfer_12,linear,n/a,96,184,64,96,50,74.19354839,0.636363636
transfer_13,linear,n/a,70,176,88,106,39.77272727,66.66666667,0.559090909
transfer_14,linear,n/a,80,150,114,96,45.45454545,56.81818182,0.522727273
transfer_15,linear,n/a,84,150,114,92,47.72727273,56.81818182,0.531818182
transfer_16,linear,n/a,92,132,100,116,44.23076923,56.89655172,0.509090909
transfer_17,linear,n/a,90,162,86,102,46.875,65.32258065,0.572727273
transfer_18,linear,n/a,82,218,62,78,51.25,77.85714286,0.681818182
transfer_19,linear,n/a,74,194,118,54,57.8125,62.17948718,0.609090909
transfer_20,linear,n/a,64,186,158,32,66.66666667,54.06976744,0.568181818
transfer_21,linear,n/a,32,152,168,0,100,47.5,0.522727273
transfer_22,linear,n/a,22,142,98,2,91.66666667,59.16666667,0.621212121
transfer_23,linear,n/a,14,110,50,2,87.5,68.75,0.704545455
transfer_24,linear,n/a,8,44,36,0,100,55,0.590909091
,,,,,,,59.67799515,68.65530704,0.62072504
