leaning rate,max training epochs,batch_size,h1,h2,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,100,100,100,100,4.166666667
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
Whole image Metrics for transfer: 1,24,12,0,8,0.75,1,0.818181818
Whole image Metrics for transfer: 2,24,8,8,4,0.857142857,0.5,0.727272727
Whole image Metrics for transfer: 3,24,8,4,8,0.75,0.666666667,0.727272727
Whole image Metrics for transfer: 4,18,12,4,10,0.642857143,0.75,0.681818182
Whole image Metrics for transfer: 5,26,8,4,6,0.8125,0.666666667,0.772727273
Whole image Metrics for transfer: 6,26,8,8,2,0.928571429,0.5,0.772727273
Whole image Metrics for transfer: 7,20,10,6,8,0.714285714,0.625,0.681818182
Whole image Metrics for transfer: 8,22,12,4,6,0.785714286,0.75,0.772727273
Whole image Metrics for transfer: 9,10,10,21,2,0.833333333,0.322580645,0.465116279
Whole image Metrics for transfer: 10,10,10,6,18,0.357142857,0.625,0.454545455
Whole image Metrics for transfer: 11,14,8,20,2,0.875,0.285714286,0.5
Whole image Metrics for transfer: 12,8,12,16,8,0.5,0.428571429,0.454545455
Whole image Metrics for transfer: 13,16,6,14,8,0.666666667,0.3,0.5
Whole image Metrics for transfer: 14,18,8,12,6,0.75,0.4,0.590909091
Whole image Metrics for transfer: 15,18,12,4,10,0.642857143,0.75,0.681818182
Whole image Metrics for transfer: 16,30,6,6,2,0.9375,0.5,0.818181818
Whole image Metrics for transfer: 17,12,10,10,12,0.5,0.5,0.5
Whole image Metrics for transfer: 18,14,6,14,10,0.583333333,0.3,0.454545455
Whole image Metrics for transfer: 19,16,10,10,8,0.666666667,0.5,0.590909091
Whole image Metrics for transfer: 20,12,6,26,0,1,0.1875,0.409090909
Whole image Metrics for transfer: 21,20,4,0,20,0.5,1,0.545454545
Whole image Metrics for transfer: 22,38,4,0,2,0.95,1,0.954545455
Whole image Metrics for transfer: 23,32,4,0,8,0.8,1,0.818181818
Whole image Metrics for transfer: 24,18,4,0,22,0.45,1,0.5
,,,,,0.71889881,0.606570821,0.633016209
