leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,100,100,100,100,12.5
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
Whole image Metrics for transfer: 1,76,20,20,16,0.826086957,0.5,0.727272727
Whole image Metrics for transfer: 2,72,26,18,16,0.818181818,0.590909091,0.742424242
Whole image Metrics for transfer: 3,66,28,12,26,0.717391304,0.7,0.712121212
Whole image Metrics for transfer: 4,74,24,20,14,0.840909091,0.545454545,0.742424242
Whole image Metrics for transfer: 5,76,28,16,12,0.863636364,0.636363636,0.787878788
Whole image Metrics for transfer: 6,70,24,24,14,0.833333333,0.5,0.712121212
Whole image Metrics for transfer: 7,52,35,28,16,0.764705882,0.555555556,0.664122137
Whole image Metrics for transfer: 8,34,17,30,6,0.85,0.361702128,0.586206897
Whole image Metrics for transfer: 9,10,10,21,2,0.833333333,0.322580645,0.465116279
Whole image Metrics for transfer: 10,34,34,38,26,0.566666667,0.472222222,0.515151515
Whole image Metrics for transfer: 11,46,34,42,10,0.821428571,0.447368421,0.606060606
Whole image Metrics for transfer: 12,48,32,36,16,0.75,0.470588235,0.606060606
Whole image Metrics for transfer: 13,54,28,28,22,0.710526316,0.5,0.621212121
Whole image Metrics for transfer: 14,54,28,20,30,0.642857143,0.583333333,0.621212121
Whole image Metrics for transfer: 15,50,28,20,34,0.595238095,0.583333333,0.590909091
Whole image Metrics for transfer: 16,42,24,28,38,0.525,0.461538462,0.5
Whole image Metrics for transfer: 17,32,30,30,40,0.444444444,0.5,0.46969697
Whole image Metrics for transfer: 18,40,24,48,20,0.666666667,0.333333333,0.484848485
Whole image Metrics for transfer: 19,62,26,30,14,0.815789474,0.464285714,0.666666667
Whole image Metrics for transfer: 20,74,20,20,18,0.804347826,0.5,0.712121212
Whole image Metrics for transfer: 21,62,12,0,58,0.516666667,1,0.560606061
Whole image Metrics for transfer: 22,74,10,2,46,0.616666667,0.833333333,0.636363636
Whole image Metrics for transfer: 23,46,8,0,34,0.575,1,0.613636364
Whole image Metrics for transfer: 24,18,4,0,22,0.45,1,0.5
,,,,,0.702036526,0.57757925,0.618509716
