leaning rate,max training epochs,batch_size,h1,h2,h3,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,20.83333333
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,122,46,22,30,0.802631579,0.676470588,0.763636364
transfer 2,124,36,36,24,0.837837838,0.5,0.727272727
transfer 3,108,48,24,40,0.72972973,0.666666667,0.709090909
transfer 4,104,42,34,40,0.722222222,0.552631579,0.663636364
transfer 5,96,46,46,32,0.75,0.5,0.645454545
transfer 6,78,36,44,18,0.8125,0.45,0.647727273
transfer 7,56,34,30,12,0.823529412,0.53125,0.681818182
transfer 8,32,24,24,8,0.8,0.5,0.636363636
transfer 9,10,10,22,2,0.833333333,0.3125,0.454545455
transfer 10,68,50,62,40,0.62962963,0.446428571,0.536363636
transfer 11,74,56,56,34,0.685185185,0.5,0.590909091
transfer 12,84,42,54,40,0.677419355,0.4375,0.572727273
transfer 13,68,44,44,64,0.515151515,0.5,0.509090909
transfer 14,68,38,50,64,0.515151515,0.431818182,0.481818182
transfer 15,80,42,46,52,0.606060606,0.477272727,0.554545455
transfer 16,82,32,72,34,0.706896552,0.307692308,0.518181818
transfer 17,84,48,48,40,0.677419355,0.5,0.6
transfer 18,104,38,42,36,0.742857143,0.475,0.645454545
transfer 19,90,48,16,66,0.576923077,0.75,0.627272727
transfer 20,72,38,10,100,0.418604651,0.791666667,0.5
transfer 21,64,14,2,96,0.4,0.875,0.443181818
transfer 22,72,10,2,48,0.6,0.833333333,0.621212121
transfer 23,50,8,0,30,0.625,1,0.659090909
transfer 24,16,4,0,24,0.4,1,0.454545455
,,,,,0.662003446,0.583967943,0.593497475
