leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,4.166666666666667
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,0.0,212.0,0.0,272.0,0.0,1.0,0.4380165289256198
transfer 2,0.0,64.0,0.0,200.0,0.0,1.0,0.24242424242424243
transfer 3,0.0,12.0,0.0,32.0,0.0,1.0,0.2727272727272727
transfer 4,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 5,0.0,12.0,0.0,32.0,0.0,1.0,0.2727272727272727
transfer 6,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 7,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 8,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 9,0.0,32.0,0.0,12.0,0.0,1.0,0.7272727272727273
transfer 10,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 11,0.0,28.0,0.0,16.0,0.0,1.0,0.6363636363636364
transfer 12,0.0,28.0,0.0,16.0,0.0,1.0,0.6363636363636364
transfer 13,0.0,20.0,0.0,24.0,0.0,1.0,0.45454545454545453
transfer 14,0.0,20.0,0.0,24.0,0.0,1.0,0.45454545454545453
transfer 15,0.0,16.0,0.0,28.0,0.0,1.0,0.36363636363636365
transfer 16,0.0,12.0,0.0,32.0,0.0,1.0,0.2727272727272727
transfer 17,0.0,20.0,0.0,24.0,0.0,1.0,0.45454545454545453
transfer 18,0.0,20.0,0.0,24.0,0.0,1.0,0.45454545454545453
transfer 19,0.0,20.0,0.0,24.0,0.0,1.0,0.45454545454545453
transfer 20,0.0,32.0,0.0,12.0,0.0,1.0,0.7272727272727273
transfer 21,0.0,4.0,0.0,40.0,0.0,1.0,0.09090909090909091
transfer 22,0.0,4.0,0.0,40.0,0.0,1.0,0.09090909090909091
transfer 23,0.0,4.0,0.0,40.0,0.0,1.0,0.09090909090909091
transfer 24,0.0,4.0,0.0,40.0,0.0,1.0,0.09090909090909091
