Percentage held for testing: ,20.83333333,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,40,110,42,28,58.82352941,72.36842105,0.681818182
transfer_2,linear,n/a,28,130,18,44,38.88888889,87.83783784,0.718181818
transfer_3,linear,n/a,42,120,28,30,58.33333333,81.08108108,0.736363636
transfer_4,linear,n/a,42,100,44,34,55.26315789,69.44444444,0.645454545
transfer_5,linear,n/a,42,102,26,49,46.15384615,79.6875,0.657534247
transfer_6,linear,n/a,31,78,18,48,39.24050633,81.25,0.622857143
transfer_7,linear,n/a,34,54,14,29,53.96825397,79.41176471,0.671755725
transfer_8,linear,n/a,24,34,6,23,51.06382979,85,0.666666667
transfer_9,linear,n/a,10,10,2,21,32.25806452,83.33333333,0.465116279
transfer_10,linear,n/a,56,72,36,56,50,66.66666667,0.581818182
transfer_11,linear,n/a,58,78,30,54,51.78571429,72.22222222,0.618181818
transfer_12,linear,n/a,40,90,34,56,41.66666667,72.58064516,0.590909091
transfer_13,linear,n/a,32,86,46,56,36.36363636,65.15151515,0.536363636
transfer_14,linear,n/a,44,76,56,44,50,57.57575758,0.545454545
transfer_15,linear,n/a,56,64,68,32,63.63636364,48.48484848,0.545454545
transfer_16,linear,n/a,50,72,44,54,48.07692308,62.06896552,0.554545455
transfer_17,linear,n/a,54,82,42,42,56.25,66.12903226,0.618181818
transfer_18,linear,n/a,44,110,30,36,55,78.57142857,0.7
transfer_19,linear,n/a,36,100,56,28,56.25,64.1025641,0.618181818
transfer_20,linear,n/a,22,94,78,26,45.83333333,54.65116279,0.527272727
transfer_21,linear,n/a,12,76,84,4,75,47.5,0.5
transfer_22,linear,n/a,12,72,48,0,100,60,0.636363636
transfer_23,linear,n/a,8,52,28,0,100,65,0.681818182
transfer_24,linear,n/a,4,20,20,0,100,50,0.545454545
,,,,,,,,,
,,,,,,,56.82733532,68.75496629,0.611072843
