leaning rate,max training epochs,batch_size,h1,h2-RELU,h3-RELU,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,12.5
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,21,7,3,2,0.913043478,0.7,0.848484848
transfer 2,20,7,4,2,0.909090909,0.636363636,0.818181818
transfer 3,20,9,1,3,0.869565217,0.9,0.878787879
transfer 4,21,5,6,1,0.954545455,0.454545455,0.787878788
transfer 5,20,6,5,2,0.909090909,0.545454545,0.787878788
transfer 6,19,7,5,2,0.904761905,0.583333333,0.787878788
transfer 7,13,4,11,4,0.764705882,0.266666667,0.53125
transfer 8,8,5,6,2,0.8,0.454545455,0.619047619
transfer 9,2,0,7,1,0.666666667,0,0.2
transfer 10,8,8,10,7,0.533333333,0.444444444,0.484848485
transfer 11,13,5,14,1,0.928571429,0.263157895,0.545454545
transfer 12,9,6,11,7,0.5625,0.352941176,0.454545455
transfer 13,11,6,8,8,0.578947368,0.428571429,0.515151515
transfer 14,13,3,9,8,0.619047619,0.25,0.484848485
transfer 15,13,6,6,8,0.619047619,0.5,0.575757576
transfer 16,12,4,9,8,0.6,0.307692308,0.484848485
transfer 17,9,7,8,9,0.5,0.466666667,0.484848485
transfer 18,12,6,12,3,0.8,0.333333333,0.545454545
transfer 19,17,7,7,2,0.894736842,0.5,0.727272727
transfer 20,22,5,5,1,0.956521739,0.5,0.818181818
transfer 21,16,3,0,14,0.533333333,1,0.575757576
transfer 22,14,3,0,16,0.466666667,1,0.515151515
transfer 23,13,2,0,7,0.65,1,0.681818182
transfer 24,3,1,0,7,0.3,1,0.363636364
,,,,,,,
,,,,,0.718090682,0.536988181,0.604873512
