leaning rate,max training epochs,batch_size,h1,h2,h3,h4,Percentage for Test set
cost/10,1000,10,200,200,200,200,20.83333333
Test Set starts at:,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer 1,33,10,7,5,0.868421053,0.588235294,0.781818182
transfer 2,36,8,10,1,0.972972973,0.444444444,0.8
transfer 3,31,13,5,6,0.837837838,0.722222222,0.8
transfer 4,32,10,9,4,0.888888889,0.526315789,0.763636364
transfer 5,27,10,12,5,0.84375,0.454545455,0.685185185
transfer 6,18,7,12,6,0.75,0.368421053,0.581395349
transfer 7,15,5,10,2,0.882352941,0.333333333,0.625
transfer 8,8,6,5,2,0.8,0.545454545,0.666666667
transfer 9,2,0,7,1,0.666666667,0,0.2
transfer 10,15,10,18,12,0.555555556,0.357142857,0.454545455
transfer 11,22,10,18,5,0.814814815,0.357142857,0.581818182
transfer 12,25,3,21,6,0.806451613,0.125,0.509090909
transfer 13,23,3,19,10,0.696969697,0.136363636,0.472727273
transfer 14,20,6,16,13,0.606060606,0.272727273,0.472727273
transfer 15,18,11,11,15,0.545454545,0.5,0.527272727
transfer 16,21,8,18,8,0.724137931,0.307692308,0.527272727
transfer 17,26,11,13,5,0.838709677,0.458333333,0.672727273
transfer 18,30,8,12,5,0.857142857,0.4,0.690909091
transfer 19,24,11,5,15,0.615384615,0.6875,0.636363636
transfer 20,27,9,3,16,0.627906977,0.75,0.654545455
transfer 21,13,4,0,27,0.325,1,0.386363636
transfer 22,13,1,2,17,0.433333333,0.333333333,0.424242424
transfer 23,12,2,0,8,0.6,1,0.636363636
transfer 24,4,1,0,6,0.4,1,0.454545455
,,,,,,,
,,,,,0.706575524,0.486175322,0.583550704
