Percentage held for testing: ,4.166666667,,,,,,,,
Test Set starts at:,Kernel,deg,True Positive,True Negative,False Positive,False Negative,Sensitivity-PosAcc,Specificity-NegAcc,Total Accuracy
transfer_1,linear,n/a,3,6,2,0,100,75,0.818181818
transfer_2,linear,n/a,2,6,1,2,50,85.71428571,0.727272727
transfer_3,linear,n/a,3,8,0,0,100,100,1
transfer_4,linear,n/a,4,6,1,0,100,85.71428571,0.909090909
transfer_5,linear,n/a,3,6,2,0,100,75,0.818181818
transfer_6,linear,n/a,3,7,0,1,75,100,0.909090909
transfer_7,linear,n/a,1,6,1,3,25,85.71428571,0.636363636
transfer_8,linear,n/a,4,6,1,0,100,85.71428571,0.909090909
transfer_9,linear,n/a,1,2,1,6,14.28571429,66.66666667,0.3
transfer_10,linear,n/a,4,2,5,0,100,28.57142857,0.545454545
transfer_11,linear,n/a,4,4,0,3,57.14285714,100,0.727272727
transfer_12,linear,n/a,4,2,2,3,57.14285714,50,0.545454545
transfer_13,linear,n/a,2,6,0,3,40,100,0.727272727
transfer_14,linear,n/a,2,5,1,3,40,83.33333333,0.636363636
transfer_15,linear,n/a,1,4,3,3,25,57.14285714,0.454545455
transfer_16,linear,n/a,1,5,3,2,33.33333333,62.5,0.545454545
transfer_17,linear,n/a,4,2,4,1,80,33.33333333,0.545454545
transfer_18,linear,n/a,2,3,3,3,40,50,0.454545455
transfer_19,linear,n/a,3,2,4,2,60,33.33333333,0.454545455
transfer_20,linear,n/a,2,3,0,6,25,100,0.454545455
transfer_21,linear,n/a,1,7,3,0,100,70,0.727272727
transfer_22,linear,n/a,1,9,1,0,100,90,0.909090909
transfer_23,linear,n/a,1,8,2,0,100,80,0.818181818
transfer_24,linear,n/a,1,5,5,0,100,50,0.545454545
,,,,,,,,,
,,,,,Averages:,,67.57936508,72.82242063,0.671590909
